pitch,roll,elbow_p,elbow_yaw,hand_x,hand_z,x_osc,z_osc,qacc_max,stable,z_ok,x_ok,candidate
-2.5,0.0,-1.0,1.5,-0.0842,0.8291,1e-05,2e-05,0.81,True,True,False,False
-2.5,0.0,-1.0,2.0,-0.0712,0.8346,0.0,0.0,0.81,True,True,False,False
-2.5,0.0,-0.5,0.0,0.0545,0.8804,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,-0.5,0.5,-0.0165,0.8906,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,-0.5,1.0,-0.0699,0.8987,2e-05,3e-05,0.81,True,False,False,False
-2.5,0.0,-0.5,1.5,-0.0924,0.9026,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,-0.5,2.0,-0.0787,0.9017,0.0,0.0,0.81,True,False,False,False
-2.5,0.0,0.0,0.0,0.0545,0.8803,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,0.0,0.5,-0.0029,0.9235,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,0.0,1.0,-0.0461,0.9565,2e-05,3e-05,0.81,True,False,False,False
-2.5,0.0,0.0,1.5,-0.0644,0.9713,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.0,0.0,2.0,-0.0531,0.9642,0.0,0.0,0.81,True,False,False,False
-2.5,0.0,0.5,0.0,0.0545,0.8803,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,0.5,0.5,0.0248,0.9458,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,0.5,1.0,0.0025,0.9959,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,0.5,1.5,-0.0067,1.0181,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.0,0.5,2.0,-0.0005,1.0068,0.0,0.0,0.81,True,False,False,False
-2.5,0.0,1.0,0.0,0.0545,0.8803,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,1.0,0.5,0.0598,0.9521,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,1.0,1.0,0.0642,1.007,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,1.0,1.5,0.0665,1.0313,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.0,1.0,2.0,0.0661,1.0189,0.0,0.0,0.81,True,False,False,False
-2.5,0.0,1.5,0.0,0.0544,0.8803,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,1.5,0.5,0.0935,0.9409,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,1.5,1.0,0.1236,0.9872,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,1.5,1.5,0.137,1.0077,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.0,1.5,2.0,0.1304,0.9974,0.0,1e-05,0.81,True,False,False,False
-2.5,0.0,2.0,0.0,0.0544,0.8803,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,2.0,0.5,0.1177,0.9149,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,2.0,1.0,0.1661,0.9413,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,2.0,1.5,0.1874,0.9532,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.0,2.0,2.0,0.1763,0.9477,0.0,1e-05,0.81,True,False,False,False
-2.5,0.5,-1.0,0.0,0.1584,1.018,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,-1.0,0.5,0.0898,0.9918,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,-1.0,1.0,0.0278,0.9582,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.5,-1.0,1.5,-0.0125,0.9255,1e-05,2e-05,0.81,True,False,False,False
-2.5,0.5,-1.0,2.0,-0.0213,0.9018,0.0,1e-05,0.81,True,False,False,False
-2.5,0.5,-0.5,0.0,0.1585,1.018,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,-0.5,0.5,0.0844,1.0248,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,-0.5,1.0,0.0181,1.0161,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.5,-0.5,1.5,-0.0242,0.994,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,-0.5,2.0,-0.032,0.9642,0.0,0.0,0.81,True,False,False,False
-2.5,0.5,0.0,0.0,0.1585,1.018,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,0.0,0.5,0.0958,1.0545,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,0.0,1.0,0.0379,1.0683,2e-05,2e-05,0.81,True,False,False,False
-2.5,0.5,0.0,1.5,-0.0008,1.0559,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,0.0,2.0,-0.0107,1.0205,0.0,0.0,0.81,True,False,False,False
-2.5,0.5,0.5,0.0,0.1585,1.0179,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,0.5,0.5,0.1213,1.0735,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,0.5,1.0,0.0826,1.1018,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,0.5,1.5,0.0522,1.0957,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,0.5,2.0,0.0374,1.0567,0.0,0.0,0.81,True,False,False,False
-2.5,0.5,1.0,0.0,0.1585,1.0179,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,1.0,0.5,0.1546,1.0772,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,1.0,1.0,0.1413,1.1083,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,1.0,1.5,0.1216,1.1035,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,1.0,2.0,0.1006,1.0638,0.0,0.0,0.81,True,False,False,False
-2.5,0.5,1.5,0.0,0.1584,1.018,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,1.5,0.5,0.1876,1.0647,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,1.5,1.0,0.1993,1.0863,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,1.5,1.5,0.1905,1.0774,1e-05,0.0,0.81,True,False,False,False
-2.5,0.5,1.5,2.0,0.1633,1.0401,0.0,0.0,0.81,True,False,False,False
-2.5,0.5,2.0,0.0,0.1584,1.018,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,2.0,0.5,0.2122,1.0391,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,2.0,1.0,0.2425,1.0412,1e-05,1e-05,0.81,True,False,False,False
-2.5,0.5,2.0,1.5,0.2416,1.0238,0.0,1e-05,0.81,True,False,False,False
-2.5,0.5,2.0,2.0,0.2099,0.9914,0.0,0.0,0.81,True,False,False,False
